"placard-pseudo href","left-h4","left-h4 href","left-h6","left-h6 href","right-h4","right-h6","placard-carousel-pseudo href 2","ng-binding 2","image-hide src","listing-company href","ng-binding 3","ng-binding 4","ng-binding 6","enh-unit","enh-unit 5","auction","auction 2","auction 3","contact-logo href","limit-width src"
"https://www.loopnet.com/Listing/11131-Folsom-Blvd-Rancho-Cordova-CA/35661501/","11131 Folsom Blvd","https://www.loopnet.com/Listing/11131-Folsom-Blvd-Rancho-Cordova-CA/35661501/","La Quinta Inn & Suites Rancho Cordova","https://www.loopnet.com/Listing/11131-Folsom-Blvd-Rancho-Cordova-CA/35661501/","132 Room Hotel","Rancho Cordova, CA 95670","https://www.loopnet.com/Listing/11131-Folsom-Blvd-Rancho-Cordova-CA/35661501/","29","https://images1.loopnet.com/i2/GZn4Ajkk3Ns-u1es4iiXmTAqJiPWHsY7LgYRwN67yCk/117/hospitality-property-for-sale-11131-folsom-blvd-rancho-cordova-ca-95670.jpg","https://www.apexlodgingadvisors.com/","July 7, 2025","1PM","Jul 9, 2025","08","32","Near top demand drivers and major highways","Recently renovated Wyndham-branded hotel","Starting bid $4,000,000","https://www.loopnet.com/Listing/11131-Folsom-Blvd-Rancho-Cordova-CA/35661501/","https://images1.loopnet.com/i2/9fQf83rDW33aljKqje4CrnsS5MdEkYxLm6Odmv9n8hg/105/image.jpg"
"https://www.loopnet.com/Listing/4-Building-Opportunity-in-Berkeley/35636004/","","","4 Building Opportunity in Berkeley","https://www.loopnet.com/Listing/4-Building-Opportunity-in-Berkeley/35636004/","4 Properties","Berkeley, CA","https://www.loopnet.com/Listing/4-Building-Opportunity-in-Berkeley/35636004/","22","https://images1.loopnet.com/i2/ZskdCaz6CMcLADKUOUdb9RTAVJuMMF68bASL5Zjw5eg/117/4-building-opportunity-in-berkeley-for-sale-berkeley-ca.jpg","https://keegancoppin.com/","July 7, 2025","1PM","Jul 9, 2025","08","32","In the West Berkeley–Emeryville corridor","Unique opportunity with an iconic building","Starting bid $2,500,000","https://www.loopnet.com/Listing/4-Building-Opportunity-in-Berkeley/35636004/","https://images1.loopnet.com/i2/pEEvzJ-nM-Co8A6YUiVg352VrK9JO8NOdWooGRTsdtQ/105/image.jpg"
"https://www.loopnet.com/Listing/1315-Menaul-Blvd-NE-Albuquerque-NM/34261006/","1315 Menaul Blvd NE","https://www.loopnet.com/Listing/1315-Menaul-Blvd-NE-Albuquerque-NM/34261006/","Quality Inn & Suites Near NMU & Downtown ABQ","https://www.loopnet.com/Listing/1315-Menaul-Blvd-NE-Albuquerque-NM/34261006/","136 Room Hotel","Albuquerque, NM 87107","https://www.loopnet.com/Listing/1315-Menaul-Blvd-NE-Albuquerque-NM/34261006/","25","https://images1.loopnet.com/i2/h6lKEq0Xj3dy7bHkUx_dPgVX2GG8G_4FqGqfMOQVw1k/117/hospitality-property-for-sale-1315-menaul-blvd-ne-albuquerque-nm-87107.jpg","http://www.marmotproperties.com/","July 7, 2025","12PM","Jul 9, 2025","08","32","Accessible to I-40 and top attractions","Amenity-rich hotel with value-add potential","Starting bid $1,750,000","https://www.loopnet.com/Listing/1315-Menaul-Blvd-NE-Albuquerque-NM/34261006/","https://images1.loopnet.com/i2/Tdwe6FAFAMJGxGYx__3XmzOFzwXBhYS5GWLGa79sxYI/105/image.jpg"
"https://www.loopnet.com/Listing/55-Beds-Income-Producing-Assisted-Living/35759342/","","","55-Beds Income-Producing Assisted Living","https://www.loopnet.com/Listing/55-Beds-Income-Producing-Assisted-Living/35759342/","3 Health Care Properties","Belleview, FL","https://www.loopnet.com/Listing/55-Beds-Income-Producing-Assisted-Living/35759342/","33","https://images1.loopnet.com/i2/czWN_40V0u4PDo76i4oAHSoFRV6yx0GV9KmDhz5Uzig/117/55-beds-income-producing-assisted-living-health-care-property-for-sale-belleview-fl.jpg","https://www.cbcworldwide.com/","July 7, 2025","12PM","Jul 9, 2025","08","32","Prime locations in downtown Belleview","Performing community with growth potential","Starting bid $1,000,000","https://www.loopnet.com/Listing/55-Beds-Income-Producing-Assisted-Living/35759342/","https://images1.loopnet.com/i2/z91ZTC4iZLjSxGnRQhtVZRCccgYckaGsOqVMIFJcU60/105/image.jpg"
"https://www.loopnet.com/Listing/17-S-New-York-Ave-Atlantic-City-NJ/35587361/","17 S New York Ave","https://www.loopnet.com/Listing/17-S-New-York-Ave-Atlantic-City-NJ/35587361/","Parking Garage/Retail Steps from Boardwalk","https://www.loopnet.com/Listing/17-S-New-York-Ave-Atlantic-City-NJ/35587361/","229,474 SF Specialty","Atlantic City, NJ 08401","https://www.loopnet.com/Listing/17-S-New-York-Ave-Atlantic-City-NJ/35587361/","30","https://images1.loopnet.com/i2/8-lJUZAROUpxmFid5Zix8vvMy6uG2UtKROWlWgitURI/117/specialty-property-for-sale-17-s-new-york-ave-atlantic-city-nj-08401.jpg","https://www.cbcworldwide.com/","July 7, 2025","1PM","Jul 9, 2025","08","32","Prime CBD location near popular attractions","In an Opportunity Zone with in-place income","Starting bid $850,000","https://www.loopnet.com/Listing/17-S-New-York-Ave-Atlantic-City-NJ/35587361/","https://images1.loopnet.com/i2/SurxaVsinmdiRh1z1gxHlnqXJbWCh5Hi00acsLWfIAM/105/image.jpg"
"https://www.loopnet.com/Listing/2939-S-Arlington-Rd-Akron-OH/35498053/","2939 S Arlington Rd","https://www.loopnet.com/Listing/2939-S-Arlington-Rd-Akron-OH/35498053/","Red Roof Inn Akron","https://www.loopnet.com/Listing/2939-S-Arlington-Rd-Akron-OH/35498053/","121 Room Hotel","Akron, OH 44312","https://www.loopnet.com/Listing/2939-S-Arlington-Rd-Akron-OH/35498053/","15","https://images1.loopnet.com/i2/StRbS4UQgIZprKrIT08tZ6jDbf8b5yIu_TXDwA4agSA/117/hospitality-property-for-sale-2939-s-arlington-rd-akron-oh-44312.jpg","http://www.hrec.com/","July 7, 2025","12PM","Jul 9, 2025","08","32","Excellent interstate access off I-77","Fee simple hotel with excellent potential","Starting bid $550,000","https://www.loopnet.com/Listing/2939-S-Arlington-Rd-Akron-OH/35498053/","https://images1.loopnet.com/i2/gdgSSLWrpRF81wldm4MdxjHQ4q6Qj-G03ciaPG0XFj0/105/image.jpg"
"https://www.loopnet.com/Listing/500-Prospect-Ave-West-Orange-NJ/35721147/","500 Prospect Ave","https://www.loopnet.com/Listing/500-Prospect-Ave-West-Orange-NJ/35721147/","Lender-Owned Value-Add Office","https://www.loopnet.com/Listing/500-Prospect-Ave-West-Orange-NJ/35721147/","7,046 SF Office","West Orange, NJ 07052","","22","https://images1.loopnet.com/i2/o68i6KoqREO_u_qPee2-bE6UKVpSbL3Idpp2sDx4YLE/117/office-property-for-sale-500-prospect-ave-west-orange-nj-07052.jpg","","July 7, 2025","11AM","Jul 9, 2025","08","32","Seamless access just off Interstate 280","Value-add partially occupied office","Starting bid $300,000","",""
"https://www.loopnet.com/Listing/8-Marcella-Ave-West-Orange-NJ/35721756/","8 Marcella Ave","https://www.loopnet.com/Listing/8-Marcella-Ave-West-Orange-NJ/35721756/","Lender-Owned Vacant Office","https://www.loopnet.com/Listing/8-Marcella-Ave-West-Orange-NJ/35721756/","5,588 SF Office","West Orange, NJ 07052","","17","https://images1.loopnet.com/i2/d8wRFwmhG48DqSw0-dCRe5T7hLnJY081pj2v31BjX5k/117/office-property-for-sale-8-marcella-ave-west-orange-nj-07052.jpg","","July 7, 2025","11AM","Jul 9, 2025","08","32","Speedy interstate access for quick commutes","Vacant office with advantageous zoning","Starting bid $275,000","",""
"https://www.loopnet.com/Listing/2366-Old-Springville-Rd-Birmingham-AL/35742562/","2366 Old Springville Rd","https://www.loopnet.com/Listing/2366-Old-Springville-Rd-Birmingham-AL/35742562/","Senior Housing Near I-59 and Top Amenities","https://www.loopnet.com/Listing/2366-Old-Springville-Rd-Birmingham-AL/35742562/","43,451 SF Health Care","Birmingham, AL 35215","https://www.loopnet.com/Listing/2366-Old-Springville-Rd-Birmingham-AL/35742562/","29","https://images1.loopnet.com/i2/0PBbay822uMrTsKn2_b1T7PT60R5kWxp8dBF3HaDcWw/117/health-care-property-for-sale-2366-old-springville-rd-birmingham-al-35215.jpg","http://www.blueprinthcre.com/","July 7, 2025","11AM","Jul 9, 2025","08","","Accessible to a growing population aged 55+","Turnkey senior housing facility with FF&E","Starting bid $250,000","https://www.loopnet.com/Listing/2366-Old-Springville-Rd-Birmingham-AL/35742562/","https://images1.loopnet.com/i2/ifcodEkp03pLeMWf9piXRQLuLzAQ48NBfqL6cvxYD1U/105/image.jpg"
"https://www.loopnet.com/Listing/525-Milam-St-Shreveport-LA/35593138/","525 Milam St","https://www.loopnet.com/Listing/525-Milam-St-Shreveport-LA/35593138/","Office w/ Apt Convert + 45% Tax Credits","https://www.loopnet.com/Listing/525-Milam-St-Shreveport-LA/35593138/","293,917 SF Office","Shreveport, LA 71101","https://www.loopnet.com/Listing/525-Milam-St-Shreveport-LA/35593138/","16","https://images1.loopnet.com/i2/As29lnz120JWIcV_uaBPjBTCBK5ej1Digd6MCopNlOk/117/office-property-for-sale-525-milam-st-shreveport-la-71101.jpg","http://bethkingrealestate.com/","July 7, 2025","11AM","Jul 9, 2025","08","","Prime CBD location near top amenities","Upside for a new leasing strategy or reuse","Starting bid $250,000","https://www.loopnet.com/Listing/525-Milam-St-Shreveport-LA/35593138/","https://images1.loopnet.com/i2/k_0sfdooMxQWwOdypRYLnIV2P6rhf9gcBbxk_Uo4SgM/105/image.png"
