hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,1,100.00,100.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,2,100.92,100.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,3,101.31,100.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,4,101.70,101.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,5,102.32,101.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,6,102.79,101.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,7,102.98,101.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,8,103.15,102.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,9,102.83,102.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,10,103.08,102.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,11,103.98,103.34
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,12,103.75,103.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,1,103.86,103.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,2,104.35,104.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,3,105.53,105.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,4,105.92,105.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,5,106.55,105.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,6,106.93,105.58
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,7,107.14,105.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,8,107.59,106.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,9,107.58,106.70
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,10,108.18,107.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,11,108.42,107.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,12,108.75,108.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,1,108.48,108.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,2,108.33,108.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,3,109.28,108.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,4,110.23,109.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,5,110.85,109.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,6,111.94,110.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,7,112.16,110.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,8,112.63,111.39
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,9,113.13,112.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,10,113.24,112.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,11,113.58,112.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,12,113.81,113.47
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,1,114.04,114.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,2,114.40,114.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,3,115.15,114.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,4,116.35,115.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,5,117.16,116.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,6,117.91,116.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,7,117.90,116.55
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,8,118.39,117.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,9,118.40,117.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,10,118.99,118.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,11,119.17,118.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,12,118.89,118.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,1,119.11,119.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,2,120.00,120.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,3,120.50,120.16
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,4,121.71,120.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,5,122.03,120.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,6,123.23,121.61
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,7,123.71,122.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,8,124.31,122.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,9,124.51,123.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,10,124.78,123.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,11,124.71,124.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,12,125.12,124.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,1,124.88,125.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,2,125.97,125.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,3,126.77,126.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,4,128.32,127.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,5,129.00,127.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,6,129.52,127.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,7,130.13,128.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,8,129.85,128.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,9,130.08,128.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,10,129.92,128.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,11,130.70,130.06
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,12,130.53,130.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,1,129.96,130.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,2,130.65,130.63
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,3,131.85,131.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,4,132.21,131.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,5,133.61,132.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,6,134.04,132.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,7,134.40,132.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,8,134.62,133.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,9,134.53,133.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,10,134.88,133.79
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,11,134.80,134.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,12,134.67,134.47
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,1,134.64,135.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,2,135.75,135.74
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,3,136.61,136.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,4,137.37,136.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,5,138.44,136.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,6,139.38,137.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,7,139.77,137.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,8,140.12,138.49
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,9,140.61,139.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,10,141.18,140.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,11,141.50,140.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,12,141.39,141.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,1,141.40,141.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,2,142.57,142.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,3,143.54,143.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,4,144.32,143.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,5,146.07,144.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,6,146.74,144.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,7,147.55,145.55
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,8,148.25,146.49
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,9,148.22,146.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,10,148.63,147.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,11,148.34,147.72
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,12,148.61,148.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,1,149.78,150.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,2,149.29,149.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,3,151.34,150.79
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,4,152.36,151.47
